rank,word,pos
1,repertoire,noun
2,obtain,verb
3,distribution,noun
4,parameter,noun
5,aspect,noun
6,dynamic,adj
7,impact,noun
8,domain,noun
9,publish,verb
10,denote,verb
11,authority,noun
12,semantic,adj
13,par,noun
14,ion,noun
15,matrix,noun
16,linear,adj
17,cognitive,adj
18,graph,noun
19,correlation,noun
20,linguistic,adj
21,acid,noun
22,induce,verb
23,velocity,noun
24,interval,noun
25,discourse,noun
26,finite,adj
27,stimulus,noun
28,vector,noun
29,electron,noun
30,receptor,noun
31,theorem,noun
32,algorithm,noun
33,fluid,noun
34,developmental,adj
35,bound,verb
36,molecular,adj
37,transformation,noun
38,spatial,adj
39,coefficient,noun
40,translation,noun
41,membrane,noun
42,neuron,noun
43,simulation,noun
44,lexical,adj
45,regime,noun
46,variance,noun
47,molecule,noun
48,marker,noun
49,empirical,adj
50,robot,noun
51,statistical,adj
52,vowel,noun
53,equilibrium,noun
54,intensity,noun
55,regression,noun
56,diagnosis,noun
57,identification,noun
58,node,noun
59,partial,adj
60,correlate,verb
61,mortality,noun
62,antibody,noun
63,temporal,adj
64,particle,noun
65,duration,noun
66,behavioral,adj
67,consumption,noun
68,bilingual,noun
69,sensitivity,noun
70,similarity,noun
71,optimal,adj
72,explicit,adj
73,mutation,noun
74,colonial,adj
75,spectrum,noun
76,phonological,adj
77,nucleus,noun
78,onset,noun
79,integration,noun
80,dominant,adj
81,pathway,noun
82,coordinate,verb
83,calculation,noun
84,precede,verb
85,subset,noun
86,syntactic,adj
87,orientation,noun
88,proposition,noun
89,inequality,noun
90,identical,adj
91,prevalence,noun
92,differential,adj
93,generalize,verb
94,beam,noun
95,pulse,noun
96,norm,noun
97,trait,noun
98,prediction,noun
99,correspondence,noun
100,essentially,adv
101,syllable,noun
102,chromosome,noun
103,infect,verb
104,magnetic,adj
105,configuration,noun
106,numerical,adj
107,namely,adv
108,intermediate,adj
109,transmission,noun
110,dose,noun
111,occurrence,noun
112,maternal,adj
113,axis,noun
114,rational,adj
115,locus,noun
116,elite,noun
117,approximation,noun
118,thesis,noun
119,sin,noun
120,classification,noun
121,threshold,noun
122,syndrome,noun
123,comparative,adj
124,activate,verb
125,adolescent,noun
126,vocabulary,noun
127,utterance,noun
128,encode,verb
129,facilitate,verb
130,incidence,noun
131,induction,noun
132,trajectory,noun
133,manuscript,noun
134,commonly,adv
135,grammatical,adj
136,accuracy,noun
137,amplitude,noun
138,adaptation,noun
139,cortex,noun
140,minimal,adj
141,systematic,adj
142,horizontal,adj
143,synthesis,noun
144,projection,noun
145,diameter,noun
146,cone,noun
147,dependence,noun
148,organism,noun
149,emergence,noun
150,overlap,verb
151,substitution,noun
152,explicitly,adv
153,evident,adj
154,conceptual,adj
155,detection,noun
156,interact,verb
157,neural,adj
158,chronic,adj
159,integral,adj
160,enzyme,noun
161,conception,noun
162,ex,prefix
163,ideology,noun
164,sperm,noun
165,quantitative,adj
166,sphere,noun
167,instability,noun
168,mediate,verb
169,specification,noun
170,classify,verb
171,physician,noun
172,computation,noun
173,oral,adj
174,mid,adj
175,indicator,noun
176,variant,noun
177,evolutionary,adj
178,feedback,noun
179,collective,adj
180,arbitrary,adj
181,fraction,noun
182,estimation,noun
183,nonlinear,adj
184,deviation,noun
185,compact,adj
186,diagram,noun
187,tropical,adj
188,morphology,noun
189,thereby,adv
190,syntax,noun
191,defect,noun
192,separation,noun
193,convergence,noun
194,sufficiently,adv
195,valid,adj
196,interface,noun
197,radiation,noun
198,vertical,adj
199,embed,verb
200,acute,adj
201,utility,noun
202,complement,noun
203,leaf,noun
204,verbal,adj
205,aggregate,noun
206,equality,noun
207,corpus,noun
208,organ,noun
209,gradient,noun
210,methodology,noun
211,entity,noun
212,tumor,noun
213,fiber,noun
214,paradigm,noun
215,psychology,noun
216,infinite,adj
217,diverse,adj
218,diagnostic,adj
219,continuity,noun
220,variability,noun
221,outer,adj
222,notation,noun
223,probe,noun
224,migration,noun
225,mathematical,adj
226,likelihood,noun
227,comparable,adj
228,magnitude,noun
229,array,noun
230,inclusion,noun
231,emission,noun
232,inference,noun
233,non,prefix
234,consciousness,noun
235,simultaneously,adv
236,disturbance,noun
237,hierarchy,noun
238,rotation,noun
239,validity,noun
240,periodic,adj
241,archaeology,noun
242,atom,noun
243,modification,noun
244,partition,noun
245,initiate,verb
246,autonomy,noun
247,inhibit,verb
248,consonant,noun
249,biology,noun
250,scenario,noun
251,conditional,adj
252,contrary,adj
253,discrete,adj
254,classroom,noun
255,morphological,adj
256,lateral,adj
257,injection,noun
258,effectiveness,noun
259,insect,noun
260,logical,adj
261,calculus,noun
262,usage,noun
263,longitudinal,adj
264,neutral,adj
265,marginal,adj
266,client,noun
267,characterization,noun
268,ethical,adj
269,superior,noun
270,approximate,adj
271,composer,noun
272,singular,adj
273,converge,verb
274,fetal,adj
275,comprehension,noun
276,implicit,adj
277,span,noun
278,oxygen,noun
279,formulation,noun
280,dialect,noun
281,colony,noun
282,immune,adj
283,loop,noun
284,algebra,noun
285,derivative,noun
286,appendix,noun
287,overview,noun
288,diffusion,noun
289,specimen,noun
290,assert,verb
291,widespread,adj
292,competence,noun
293,residual,adj
294,fusion,noun
295,conservation,noun
296,constrain,verb
297,virtue,noun
298,differentiate,verb
299,amino,noun
300,partially,adv
301,preliminary,adj
302,philosophical,adj
303,pre,prefix
304,transaction,noun
305,prominent,adj
306,indigenous,adj
307,render,verb
308,independently,adv
309,symbolic,adj
310,utilize,verb
311,physiological,adj
312,indirect,adj
313,calcium,noun
314,assembly,noun
315,strictly,adv
316,unity,noun
317,psychiatric,adj
318,critique,noun
319,differentiation,noun
320,closure,noun
321,minimize,verb
322,selective,adj
323,availability,noun
324,depict,verb
325,cue,noun
326,parental,adj
327,ritual,noun
328,fertility,noun
329,adjacent,adj
330,readily,adv
331,observer,noun
332,inhibition,noun
333,questionnaire,noun
334,generalization,noun
335,qualitative,adj
336,tense,adj
337,transcription,noun
338,locally,adj
339,nutrient,noun
340,reinforce,verb
341,statistically,adv
342,simulate,verb
343,dense,adj
344,ecology,noun
345,null,adj
346,terminal,noun
347,informal,adj
348,discharge,verb
349,adaptive,adj
350,ecological,adj
351,protocol,noun
352,progressive,adj
353,aesthetic,adj
354,exploit,verb
355,agriculture,noun
356,practitioner,noun
357,occupation,noun
358,equivalence,noun
359,pragmatic,adj
360,productivity,noun
361,arrow,noun
362,reproduce,verb
363,commentary,noun
364,residue,noun
365,unstable,adj
366,consensus,noun
367,simplify,verb
368,radius,noun
369,artificial,adj
370,harvest,noun
371,suicide,noun
372,pi,noun
373,monkey,noun
374,habitat,noun
375,assignment,noun
376,replicate,verb
377,mechanical,adj
378,disability,noun
379,cattle,noun
380,purely,adv
381,contradiction,noun
382,scatter,verb
383,problematic,adj
384,correction,noun
385,linguistics,noun
386,hormone,noun
387,primitive,adj
388,ethics,noun
389,accumulation,noun
390,static,adj
391,consent,verb
392,substrate,noun
393,straightforward,adj
394,discrimination,noun
395,separately,adv
396,randomize,verb
397,sensory,adj
398,confine,verb
399,peripheral,adj
400,mineral,noun
401,spontaneous,adj
402,reliability,noun
403,clone,verb
404,orient,verb
405,elaborate,adj
406,nominal,adj
407,insert,verb
408,reproduction,noun
409,dominance,noun
410,allocation,noun
411,lung,noun
412,productive,adj
413,decay,verb
414,conscious,adj
415,thickness,noun
416,transmit,verb
417,conceive,verb
418,offspring,noun
419,resemble,verb
420,circulation,noun
421,correctly,adv
422,necessity,noun
423,metaphor,noun
424,tract,noun
425,liver,noun
426,subjective,adj
427,accumulate,verb
428,rejection,noun
429,maximize,verb
430,replacement,noun
431,amongst,prep
432,complication,noun
433,valve,noun
434,plural,adj
435,absorption,noun
436,monetary,adj
437,thermal,adj
438,likewise,adj
439,tolerance,noun
440,articulate,verb
441,donor,noun
442,flux,noun
443,mobility,noun
444,manipulation,noun
445,elevate,verb
446,nationalism,noun
447,analogy,noun
448,adverse,adj
449,plausible,adj
450,nitrogen,noun
451,vein,noun
452,controversy,noun
453,wheat,noun
454,rewrite,verb
455,manual,adj
456,strategic,adj
457,peasant,noun
458,absorb,verb
459,sketch,noun
460,justification,noun
461,lifetime,noun
462,binary,adj
463,definite,adj
464,contour,noun
465,execution,noun
466,rhythm,noun
467,ultimate,adj
468,dictionary,noun
469,constitution,noun
470,acceleration,noun
471,undermine,verb
472,disadvantage,noun
473,myth,noun
474,strand,noun
475,unify,verb
476,randomly,adv
477,philosopher,noun
478,pronounce,verb
479,workshop,noun
480,objection,noun
481,meaningful,adj
482,wavelength,noun
483,diagnose,verb
484,accent,noun
485,realm,noun
486,replication,noun
487,basin,noun
488,admission,noun
489,interestingly,adv
490,clarify,verb
491,grid,noun
492,curriculum,noun
493,displacement,noun
494,coherent,adj
495,standardize,verb
496,civilization,noun
497,positively,adv
498,bacterial,adj
499,deficiency,noun
500,legitimate,adj
501,sophisticate,verb
502,accelerate,verb
503,exponential,adj
504,formally,adv
505,socially,adv
506,accurately,adv
507,influential,adj
508,progression,noun
509,essence,noun
510,cylinder,noun
511,scholarship,noun
512,sodium,noun
513,predominantly,adv
514,oscillation,noun
515,impulse,noun
516,theorist,noun
517,manipulate,verb
518,alliance,noun
519,crystal,noun
520,importantly,adv
521,stack,verb
522,drift,verb
523,nest,noun
524,fossil,noun
525,resistant,adj
526,dimensional,adj
527,punishment,noun
528,rhetoric,noun
529,artifact,noun
530,carrier,noun
531,surgical,adj
532,coordination,noun
533,turbulent,adj
534,quantum,noun
535,sediment,noun
536,ray,noun
537,conserve,verb
538,primer,noun
539,grasp,verb
540,bulk,noun
541,terminology,noun
542,vegetation,noun
543,triangle,noun
544,traditionally,adv
545,execute,verb
546,intensive,adj
547,reconstruct,verb
548,broadly,adv
549,metabolism,noun
550,revolutionary,adj
551,merge,verb
552,dilemma,noun
553,motif,noun
554,motive,noun
555,subtle,adj
556,clinic,noun
557,allocate,verb
558,hydrogen,noun
559,dissertation,noun
560,susceptible,adj
561,architect,noun
562,coronary,adj
563,breakdown,noun
564,inject,verb
565,economist,noun
566,momentum,noun
567,polar,adj
568,backward,adv
569,multiply,verb
570,morality,noun
571,communicative,adj
572,physically,adv
573,rainfall,noun
574,politically,adv
575,invasion,noun
576,inevitably,adv
577,capitalism,noun
578,expertise,noun
579,inferior,adj
580,actively,adv
581,quotation,noun
582,composite,adj
583,historically,adv
584,textbook,noun
585,bundle,noun
586,elementary,adj
587,capitalist,noun
588,flexibility,noun
589,cord,noun
590,realistic,adj
591,initiation,noun
592,horizon,noun
593,consultation,noun
594,ruler,noun
595,freely,adv
596,rotate,verb
597,commodity,noun
598,elevation,noun
599,intervene,verb
600,compensate,verb
601,atomic,adj
602,trivial,adj
603,stance,noun
604,stabilize,verb
605,profound,adj
606,whereby,adv
607,ancestor,noun
608,genetics,noun
609,proton,noun
610,phosphate,noun
611,gravity,noun
612,pole,noun
613,puzzle,noun
614,respiratory,adj
615,elimination,noun
616,exit,noun
617,corruption,noun
618,circulate,verb
619,obscure,adj
620,contradict,verb
621,interfere,verb
622,trauma,noun
623,upward,adv
624,gross,adj
625,optical,adj
626,communist,noun
627,continent,noun
628,physics,noun
629,viable,adj
630,limb,noun
631,retrieve,verb
632,presume,verb
633,rationality,noun
634,stereotype,noun
635,slavery,noun
636,artistic,adj
637,faculty,noun
638,anthropology,noun
639,antibiotic,adj
640,portray,verb
641,sexuality,noun
642,chemistry,noun
643,axiom,noun
644,pest,noun
645,fracture,noun
646,transplant,noun
647,goods,noun
648,shortly,adv
649,epidemic,adj
650,inversion,noun
651,irrelevant,adj
652,mechanic,noun
653,epidemiology,noun
654,dissolve,verb
655,fatigue,noun
656,nonetheless,adv
657,bargain,noun
658,infectious,adj
659,individually,adv
660,psychologist,noun
661,trans,prefix
662,irrigation,noun
663,diary,noun
664,treaty,noun
665,rehabilitation,noun
666,illusion,noun
667,bat,noun
668,optimum,adj
669,fever,noun
670,paradox,noun
671,kidney,noun
672,predator,noun
673,migrate,verb
674,infinity,noun
675,shallow,adj
676,fundamentally,adv
677,synthetic,adj
678,hepatitis,noun
679,ton,noun
680,bubble,noun
681,bracket,noun
682,elasticity,noun
683,cure,noun
684,contradictory,adj
685,sensation,noun
686,sustainable,adj
687,elastic,adj
688,machinery,noun
689,dictate,verb
690,vitamin,noun
691,incline,noun
692,leisure,noun
693,enforcement,noun
694,prey,noun
695,cyclic,adj
696,clue,noun
697,friction,noun
698,parenthesis,noun
699,noble,adj
700,potassium,noun
701,reactive,adj
702,genetically,adv
703,bacteria,noun
704,wisdom,noun
705,crude,adj
706,realism,noun
707,deliberately,adv
708,chemotherapy,noun
709,surplus,adj
710,capillary,noun
711,directive,noun
712,globalization,noun
713,alien,noun
714,portfolio,noun
715,monopoly,adv
716,lifestyle,noun
717,invert,verb
718,thread,noun
719,clay,noun
720,dye,noun
721,transcribe,verb
722,dilute,verb
723,tribe,noun
724,damp,adj
725,economically,adv
726,critically,adv
727,secrete,verb
728,hip,noun
729,plantation,noun
730,prejudice,noun
731,onwards,adv
732,anti,prefix
733,helix,noun
734,interrupt,verb
735,domination,noun
736,undergraduate,noun
737,soluble,adj
738,innate,adj
739,dioxide,noun
740,goat,noun
741,emit,verb
742,confound,verb
743,competent,adj
744,degrade,verb
745,layout,noun
746,fabric,noun
747,container,noun
748,fungus,noun
749,reservoir,noun
750,footnote,noun
751,bodily,adv
752,niche,noun
753,vague,adj
754,affirm,verb
755,urine,noun
756,afterward,adv
757,jazz,noun
758,antiquity,noun
759,unemployed,adj
760,toxic,adj
761,yeast,noun
762,punish,verb
763,forum,noun
764,bleed,verb
765,overhead,adj
766,republic,noun
767,processor,noun
768,goodness,noun
769,comply,verb
770,audit,verb
771,legend,noun
772,slot,noun
773,drain,noun
774,abdominal,adj
775,media,noun
776,tempt,verb
777,outlet,noun
778,precipitation,noun
779,invade,verb
780,interviewer,noun
781,apple,noun
782,planner,noun
783,supposedly,adv
784,gut,noun
785,swell,verb
786,emperor,noun
787,altitude,noun
788,gauge,noun
789,transparency,noun
790,sub,prefix
791,blank,adj
792,chloride,noun
793,sensible,adj
794,weave,verb
795,destination,noun
796,precipitate,verb
797,painful,adj
798,industrialization,noun
799,lab,noun
800,seminar,noun
801,minus,prep
802,conduction,noun
803,audio,adj
804,subtract,verb
805,facet,noun
806,splice,noun
807,incumbent,noun
808,biodiversity,noun
809,chunk,noun
810,credibility,noun
811,tutor,noun
812,super,adj
813,fin,noun
814,aluminum,noun
815,gram,noun
816,liable,adj
817,marble,noun
818,pesticide,noun
819,technically,adv
820,fringe,noun
821,messenger,noun
822,biologist,noun
823,connotation,noun
824,delta,noun
825,tremendous,adj
826,snake,noun
827,flesh,noun
828,ghost,noun
829,marrow,noun
830,surgeon,noun
831,instinct,noun
832,industrialize,verb
833,denominator,noun
834,stripe,noun
835,junior,adj
836,solvent,noun
837,kilometer,noun
838,slab,noun
839,hedge,noun
840,spray,verb
841,cinema,noun
842,plug,noun
843,naked,adj
844,indifference,noun
845,erase,verb
846,powder,noun
847,micro,prefix
848,clip,noun
849,solute,noun
850,dissection,noun
851,censor,verb
852,portrayal,noun
853,statistics,noun
854,thumb,noun
855,acidic,adj
856,uplift,verb
857,flip,verb
858,congruent,adj
859,parcel,noun
860,lecturer,noun
861,skip,verb
862,poster,noun
863,sword,noun
864,photographic,adj
865,auction,verb
866,barrel,noun
867,mentor,noun
868,nicely,adv
869,lump,noun
870,quiz,noun
871,watershed,noun
872,liter,noun
873,oxidize,verb
874,mercury,noun
875,noisy,adj
876,headquarters,noun
877,phenomenal,adj
878,multinational,adj
879,comma,noun
880,bizarre,adj
881,specialty,noun
882,socialize,verb
883,novice,noun
884,enormously,adv
885,rope,noun
886,campus,noun
887,clever,adj
888,mole,noun
889,sometime,adv
890,bucket,noun
891,swap,verb
892,recipe,noun
893,airplane,noun
894,deflection,noun
895,deceive,verb
896,syllabus,noun
897,neat,adj
898,factorial,adj
899,lever,noun
900,descriptor,noun
901,semester,noun
902,underneath,adv
903,reactor,noun
904,herbicide,noun
905,bonus,noun
906,cheat,verb
907,missile,noun
908,rub,verb
909,radar,noun
910,memorize,verb
911,scripture,noun
912,whoever,pron
913,whichever,det
914,bullet,noun
915,punch,verb
916,postgraduate,noun
917,artwork,noun
918,pardon,verb
919,millimeter,noun
920,incredible,adj
921,halfway,adv
922,deadline,noun
923,bang,verb
924,semi,prefix
925,slash,verb
926,ridiculous,adj
927,multi,prefix
928,homework,noun
929,volition,noun
930,tricky,adj
931,cheer,verb
932,shuttle,noun
933,aerosol,noun
934,athletic,adj
935,chess,noun
936,terribly,adv
937,unintelligible,adj
938,circa,noun
939,scroll,noun
940,sponsorship,noun
941,connector,noun
942,nasty,adj
943,incredibly,adv
944,neo,prefix
945,entrant,noun
946,hawk,noun
947,handout,noun
948,tech,noun
949,rack,noun
950,applause,noun
951,demonstrator,noun
952,calculator,noun
953,mall,noun
954,sneeze,verb
955,sniff,verb
956,stadium,noun
957,descendant,noun